类型,平均面积,区县,fangyuan1,fangyuan2,fangyuan3,fangyuan4,价格,面积1,面积2,平均面积
三居 ,97~135平米,[红桥],普通住宅,洋房,品牌地产,地铁沿线,28000,97,135,116
二居/ 三居 ,80~143平米,[河西],普通住宅,洋房,品牌地产,景观居所,35000,80,143,111.5
二居/ 三居 ,89~143平米,[西青],普通住宅,叠拼,品牌地产,花园洋房,18000,89,143,116
三居/ 四居 ,105~175平米,[河北],普通住宅,洋房,品牌地产,央企开发,60000,105,175,140
三居 ,87~129平米,[河西],普通住宅,洋房,地铁沿线,品牌地产,39000,87,129,108
三居 ,100~170平米,[西青],叠拼,洋房,花园洋房,特色别墅,22000,100,170,135
三居 ,106~173平米,[东丽],普通住宅,商业,品牌地产,花园洋房,26000,106,173,139.5
三居/ 四居 ,93~143平米,[河北],普通住宅,品牌地产,地铁沿线,景观居所,28000,93,143,118
三居 ,85~126平米,[河西],普通住宅,洋房,品牌地产,地铁沿线,42000,85,126,105.5
三居 ,110~170平米,[南开],普通住宅,品牌地产,国际化社区,豪华居住区,63000,110,170,140
二居/ 三居 ,82~130平米,[津南],普通住宅,洋房,品牌地产,地铁沿线,19500,82,130,106
三居 ,89~130平米,[津南],洋房,品牌地产,低密居所,小户型,20000,89,130,109.5
二居/ 三居 ,89~167平米,[津南],普通住宅,叠拼,低密居所,洋房,21000,89,167,128
三居/ 四居 ,143~189平米,[南开],普通住宅,现房,央企开发,装修交付,40000,143,189,166
三居/ 四居 ,89~160平米,[津南],普通住宅,洋房,品牌地产,低密居所,15000,89,160,124.5
二居/ 三居 ,85~144平米,[武清],普通住宅,品牌地产,景观居所,,22000,85,144,114.5
三居 ,98~143平米,[西青],普通住宅,品牌地产,低密居所,景观居所,19950,98,143,120.5
三居/ 四居 ,106~237平米,[河西],普通住宅,品牌地产,低密居所,豪华居住区,45000,106,237,171.5
三居 ,103~125平米,[南开],普通住宅,洋房,改善优选,洋房,58000,103,125,114
三居/ 四居 ,80~129平米,[津南],洋房,品牌地产,低密居所,低总价,20000,80,129,104.5
二居/ 三居/ 四居 ,160~310平米,[西青],普通住宅,洋房,品牌地产,低密居所,37000,160,310,235
三居/ 四居 ,128~236平米,[河西],普通住宅,洋房,品牌地产,低密居所,54000,128,236,182
二居/ 三居 ,89~135平米,[南开],普通住宅,洋房,品牌地产,低密居所,38000,89,135,112
二居/ 三居 ,115~178平米,[西青],普通住宅,叠拼,品牌地产,低密居所,357,115,178,146.5
二居/ 三居 ,71~128平米,[东丽],普通住宅,品牌地产,地铁沿线,低总价,14500,71,128,99.5
三居/ 四居 ,79~143平米,[滨海新区],洋房,低密居所,品牌地产,花园洋房,21000,79,143,111
三居 ,94~135平米,[东丽],普通住宅,洋房,品牌地产,地铁沿线,23000,94,135,114.5
二居/ 三居/ 四居 ,89~185平米,[津南],欧式,特色别墅,品牌地产,低密居所,7000,89,185,137
二居/ 三居 ,85~130平米,[西青],普通住宅,品牌地产,低密居所,低总价,21000,85,130,107.5
二居/ 三居 ,80~142平米,[北辰],普通住宅,品牌地产,地铁沿线,,20000,80,142,111
三居/ 四居 ,88~300平米,[南开],洋房,地铁沿线,花园洋房,教育地产,57000,88,300,194
三居/ 四居 ,116~136平米,[河北],叠拼,洋房,低密居所,改善优选,18800,116,136,126
二居/ 三居 ,80~110平米,[西青],普通住宅,洋房,品牌地产,低密居所,17500,80,110,95
三居 ,89~130平米,[西青],普通住宅,品牌地产,景观居所,复合地产,11000,89,130,109.5
三居/ 四居/ 五居 ,124~247平米,[滨海新区],洋房,大平层,低密居所,花园洋房,23000,124,247,185.5
二居/ 三居 ,143~210平米,[津南],叠拼,洋房,地铁沿线,低密居所,370,143,210,176.5
一居/ 二居/ 四居 ,42平米,[和平],住宅型公寓,现房,复合地产,地铁沿线,100000,42平米,,42
二居/ 三居 ,78~118平米,[西青],普通住宅,洋房,品牌地产,国际化社区,17500,78,118,98
三居/ 四居 ,104~169平米,[河西],普通住宅,品牌地产,国际化社区,地铁沿线,38000,104,169,136.5
二居/ 三居 ,82~125平米,[河西],普通住宅,洋房,品牌地产,地铁沿线,39000,82,125,103.5
三居 ,108~143平米,[武清],普通住宅,品牌地产,低密居所,花园洋房,17000,108,143,125.5
三居 ,114~128平米,[西青],叠拼,洋房,品牌地产,地铁沿线,18600,114,128,121
三居/ 四居 ,171~180平米,[南开],普通住宅,洋房,品牌地产,豪华居住区,68000,171,180,175.5
二居/ 三居/ 四居 ,83~183平米,[北辰],普通住宅,洋房,品牌地产,小户型,13000,83,183,133
二居/ 三居 ,85~125平米,[武清],普通住宅,小户型,,,10000,85,125,105
二居/ 三居 ,76~115平米,[西青],普通住宅,品牌地产,低总价,现房,14000,76,115,95.5
二居/ 三居 ,92~125平米,[滨海新区],普通住宅,品牌地产,国际化社区,地铁沿线,20000,92,125,108.5
三居/ 四居/ 五居 ,310平米,[河东],普通住宅,商业,品牌地产,地铁沿线,1300,310平米,,310
二居/ 三居/ 四居/ 五居 ,82~236平米,[东丽],联排,普通住宅,低密居所,花园洋房,12500,82,236,159
二居/ 三居/ 四居 ,79~160平米,[武清],英式,品牌地产,低总价,低密居所,5500,79,160,119.5
二居/ 三居/ 四居/ 五居以上 ,76~180平米,[静海],联排,普通住宅,品牌地产,低总价,5500,76,180,128
三居/ 四居 ,108~149平米,[滨海新区],普通住宅,品牌地产,配套商品房,宜居生态地产,17000,108,149,128.5
三居/ 四居 ,99~140平米,[北辰],普通住宅,洋房,品牌地产,低密居所,11900,99,140,119.5
二居/ 三居/ 四居 ,100~140平米,[滨海新区],普通住宅,洋房,品牌地产,豪华居住区,18600,100,140,120
三居/ 四居 ,112~271平米,[西青],普通住宅,现房,地铁沿线,,25000,112,271,191.5
三居/ 四居/ 五居 ,96~148平米,[津南],叠拼,洋房,品牌地产,地铁沿线,22000,96,148,122
二居/ 三居 ,126~140平米,[西青],普通住宅,叠拼,品牌地产,低密居所,33000,126,140,133
一居/ 二居/ 三居 ,81~122平米,[河东],普通住宅,商业,品牌地产,地铁沿线,26000,81,122,101.5
三居 ,100~140平米,[滨海新区],普通住宅,品牌地产,现房,花园洋房,20000,100,140,120
二居/ 三居 ,74~122平米,[南开],住宅型公寓,商业,品牌地产,现房,48000,74,122,98
三居 ,89~136平米,[津南],普通住宅,品牌地产,低密居所,花园洋房,24000,89,136,112.5
三居 ,124~149平米,[南开],普通住宅,洋房,品牌地产,地铁沿线,45000,124,149,136.5
二居/ 三居 ,92~145平米,[北辰],普通住宅,洋房,品牌地产,宜居生态地产,15000,92,145,118.5
二居/ 五居/ 五居以上 ,92~309平米,[东丽],联排,普通住宅,经济住宅,低总价,8500,92,309,200.5
二居/ 三居 ,93~128平米,[南开],普通住宅,标准写字楼,地铁沿线,小户型,33000,93,128,110.5
三居/ 四居 ,95~130平米,[西青],普通住宅,洋房,品牌地产,地铁沿线,22400,95,130,112.5
二居/ 三居 ,70~140平米,[津南],普通住宅,洋房,品牌地产,低密居所,12500,70,140,105
三居 ,89~115平米,[东丽],普通住宅,品牌地产,地铁沿线,低密居所,23500,89,115,102
二居/ 三居/ 四居 ,82~147平米,[武清],普通住宅,洋房,品牌地产,低密居所,18000,82,147,114.5
三居 ,103~132平米,[武清],普通住宅,洋房,品牌地产,低密居所,13000,103,132,117.5
三居 ,90~115平米,[宁河],普通住宅,商住别墅,品牌地产,低总价,8500,90,115,102.5
二居/ 三居 ,86~97平米,[宁河],联排,普通住宅,低总价,小户型,7500,86,97,91.5
三居 ,89~176平米,[北辰],普通住宅,洋房,品牌地产,低密居所,17000,89,176,132.5
三居 ,94~143平米,[南开],普通住宅,洋房,品牌地产,地铁沿线,38500,94,143,118.5
二居/ 三居/ 四居 ,75~175平米,[和平],普通住宅,洋房,品牌地产,地铁沿线,76000,75,175,125
三居/ 四居 ,89~127平米,[河东],普通住宅,洋房,品牌地产,地铁沿线,29000,89,127,108
三居 ,100~165平米,[南开],普通住宅,商业,品牌地产,地铁沿线,42000,100,165,132.5
二居/ 三居/ 四居 ,75~125平米,[河北],普通住宅,地铁沿线,,,26000,75,125,100
三居/ 四居 ,89~165平米,[河北],普通住宅,地铁沿线,,,29000,89,165,127
