type,area,site,feature1,feature2,price,ave_area
三居 ,97~135平米,红桥区,普通住宅,品牌地产,28000,116
二居/ 三居 ,80~143平米,河西区,普通住宅,品牌地产,35000,111.5
二居/ 三居 ,89~143平米,西青区,普通住宅,品牌地产,18000,116
三居/ 四居 ,105~175平米,河北区,普通住宅,品牌地产,60000,140
三居 ,87~129平米,河西区,普通住宅,地铁沿线,39000,108
三居 ,100~170平米,西青区,叠拼,花园洋房,22000,135
三居 ,106~173平米,东丽区,普通住宅,品牌地产,26000,139.5
三居/ 四居 ,93~143平米,河北区,普通住宅,地铁沿线,28000,118
三居 ,85~126平米,河西区,普通住宅,品牌地产,42000,105.5
三居 ,110~170平米,南开区,普通住宅,国际化社区,63000,140
二居/ 三居 ,82~130平米,津南区,普通住宅,品牌地产,19500,106
三居 ,89~130平米,津南区,洋房,低密居所,20000,109.5
二居/ 三居 ,89~167平米,津南区,普通住宅,低密居所,21000,128
三居/ 四居 ,143~189平米,南开区,普通住宅,央企开发,40000,166
三居/ 四居 ,89~160平米,津南区,普通住宅,品牌地产,15000,124.5
二居/ 三居 ,85~144平米,武清区,普通住宅,景观居所,22000,114.5
三居 ,98~143平米,西青区,普通住宅,低密居所,19950,120.5
三居/ 四居 ,106~237平米,河西区,普通住宅,低密居所,45000,171.5
三居 ,103~125平米,南开区,普通住宅,改善优选,58000,114
三居/ 四居 ,80~129平米,津南区,洋房,低密居所,20000,104.5
二居/ 三居/ 四居 ,160~310平米,西青区,普通住宅,品牌地产,37000,235
三居/ 四居 ,128~236平米,河西区,普通住宅,品牌地产,54000,182
二居/ 三居 ,89~135平米,南开区,普通住宅,品牌地产,38000,112
二居/ 三居 ,115~178平米,西青区,普通住宅,品牌地产,357,146.5
二居/ 三居 ,71~128平米,东丽区,普通住宅,地铁沿线,14500,99.5
三居/ 四居 ,79~143平米,,洋房,品牌地产,21000,111
三居 ,94~135平米,东丽区,普通住宅,品牌地产,23000,114.5
二居/ 三居/ 四居 ,89~185平米,津南区,欧式,品牌地产,7000,137
二居/ 三居 ,85~130平米,西青区,普通住宅,低密居所,21000,107.5
二居/ 三居 ,80~142平米,北辰区,普通住宅,地铁沿线,20000,111
三居/ 四居 ,88~300平米,南开区,洋房,花园洋房,57000,194
三居/ 四居 ,116~136平米,河北区,叠拼,低密居所,18800,126
二居/ 三居 ,80~110平米,西青区,普通住宅,品牌地产,17500,95
三居 ,89~130平米,西青区,普通住宅,景观居所,11000,109.5
三居/ 四居/ 五居 ,124~247平米,,洋房,低密居所,23000,185.5
二居/ 三居 ,143~210平米,津南区,叠拼,地铁沿线,370,176.5
一居/ 二居/ 四居 ,42平米,和平区,住宅型公寓,复合地产,100000,42
二居/ 三居 ,78~118平米,西青区,普通住宅,品牌地产,17500,98
三居/ 四居 ,104~169平米,河西区,普通住宅,国际化社区,38000,136.5
二居/ 三居 ,82~125平米,河西区,普通住宅,品牌地产,39000,103.5
三居 ,108~143平米,武清区,普通住宅,低密居所,17000,125.5
三居 ,114~128平米,西青区,叠拼,品牌地产,18600,121
三居/ 四居 ,171~180平米,南开区,普通住宅,品牌地产,68000,175.5
二居/ 三居/ 四居 ,83~183平米,北辰区,普通住宅,品牌地产,13000,133
二居/ 三居 ,85~125平米,武清区,普通住宅,,10000,105
二居/ 三居 ,76~115平米,西青区,普通住宅,低总价,14000,95.5
二居/ 三居 ,92~125平米,,普通住宅,国际化社区,20000,108.5
三居/ 四居/ 五居 ,310平米,河东区,普通住宅,品牌地产,1300,310
二居/ 三居/ 四居/ 五居 ,82~236平米,东丽区,联排,低密居所,12500,159
二居/ 三居/ 四居 ,79~160平米,武清区,英式,低总价,5500,119.5
