户型,面积,楼层,总楼层,走向
2室1厅,105.53,低层,6,南向
2室2厅,117.58,低层,6,南向
2室2厅,117.58,低层,6,南北向
2室1厅,68.63,中层,14,南向
2室1厅,57.19,中层,6,南北向
2室1厅,122.26,高层,34,东南向
2室2厅,136.58,中层,8,南北向
1室1厅,38.38,中层,8,东西向
1室1厅,39.0,低层,7,南向
1室1厅,49.2,低层,10,南向
3室2厅,137.26,低层,33,南北向
1室1厅,47.38,中层,7,南向
3室2厅,145.74,中层,7,南北向
2室1厅,54.39,低层,6,南北向
3室2厅,147.61,中层,6,南北向
2室2厅,98.0,低层,18,南向
2室1厅,60.27,中层,8,南北向
3室1厅,107.6,低层,6,南北向
2室1厅,81.18,高层,6,南向
3室2厅,118.55,中层,28,南北向
2室1厅,57.07,高层,7,南北向
3室1厅,75.6,中层,5,南北向
3室2厅,181.0,高层,31,南北向
3室2厅,114.34,中层,31,南北向
2室2厅,104.8,中层,7,南北向
2室1厅,55.83,低层,6,南北向
1室1厅,21.27,低层,6,南向
3室2厅,87.0,低层,9,南北向
2室2厅,85.0,低层,18,南北向
3室2厅,89.81,低层,9,南北向
3室2厅,126.0,中层,6,南北向
1室0厅,29.0,顶层,2,东北向
2室1厅,70.0,高层,6,东北向
2室2厅,109.28,低层,8,南北向
4室2厅,183.29,中层,18,西北向
2室1厅,35.84,高层,8,东向
2室1厅,88.0,中层,9,南北向
3室2厅,89.0,高层,11,南北向
1室1厅,38.54,中层,6,南向
2室1厅,41.3,中层,8,南北向
3室2厅,117.0,低层,9,南北向
3室2厅,88.0,中层,8,南北向
3室2厅,134.65,中层,17,南北向
1室1厅,60.87,中层,10,南向
3室2厅,139.77,中层,8,南北向
3室2厅,109.0,高层,7,南北向
2室1厅,56.0,顶层,6,南北向
1室1厅,39.0,低层,7,南向
4室2厅,140.0,中层,32,南北向
3室1厅,66.0,中层,13,南北向
1室1厅,22.4,顶层,6,南向
2室1厅,68.45,低层,6,南北向
3室2厅,100.65,低层,6,南北向
3室2厅,115.0,中层,32,南北向
2室1厅,89.65,中层,7,南北向
3室2厅,88.0,中层,8,南北向
3室2厅,140.0,低层,9,南北向
3室2厅,176.65,中层,29,南北向
3室2厅,116.0,中层,10,南北向
3室2厅,95.0,中层,11,南北向
1室1厅,38.0,高层,7,南向
1室1厅,55.81,中层,30,东向
2室2厅,105.13,低层,7,南向
1室1厅,55.06,低层,30,东向
2室1厅,74.47,中层,30,北向
1室1厅,55.72,高层,30,南向
2室1厅,68.14,中层,30,北向
2室1厅,101.37,中层,6,南北向
2室1厅,108.37,低层,9,南北向
1室1厅,52.21,中层,30,北向
1室1厅,60.09,中层,21,东向
2室1厅,73.62,低层,6,南北向
2室1厅,67.23,高层,8,东西向
3室1厅,95.12,中层,11,南向
3室2厅,145.26,高层,12,南北向
2室1厅,117.86,高层,13,南北向
2室2厅,82.45,中层,48,西向
2室1厅,121.05,中层,12,南北向
3室2厅,50.41,高层,24,东向
4室2厅,137.35,高层,33,西北向
2室2厅,121.05,低层,12,南北向
2室1厅,41.71,中层,8,东向
2室1厅,53.83,低层,7,东南向
2室1厅,53.59,高层,8,南向
2室1厅,148.8,中层,11,南向
2室2厅,121.94,低层,12,南北向
2室1厅,106.4,低层,8,南北向
2室1厅,89.74,低层,33,南向
2室2厅,83.88,中层,48,西向
2室1厅,83.88,中层,48,东南向
2室1厅,40.51,中层,8,北向
3室2厅,121.94,低层,12,南向
2室2厅,107.11,中层,10,南北向
3室2厅,166.78,高层,18,南北向
2室2厅,117.7,高层,12,南北向
2室1厅,79.71,中层,21,东向
2室1厅,73.23,高层,48,西南向
3室2厅,135.17,低层,9,南北向
2室1厅,104.45,高层,33,南向
2室1厅,58.9,低层,6,南北向
2室1厅,84.79,中层,7,南北向
3室2厅,174.28,中层,15,南北向
1室1厅,52.21,中层,30,北向
2室2厅,114.14,中层,19,南北向
2室1厅,124.29,中层,25,南北向
1室1厅,36.65,高层,7,西向
2室2厅,119.84,中层,13,南北向
2室1厅,58.82,低层,6,南北向
2室2厅,114.37,高层,11,南北向
1室1厅,42.14,中层,6,南向
2室1厅,89.01,中层,33,南向
2室1厅,89.74,中层,33,南向
3室2厅,50.27,中层,24,东向
1室1厅,34.93,中层,7,西向
2室1厅,79.71,低层,21,西北向
2室1厅,35.97,中层,8,东向
3室2厅,153.08,低层,18,南北向
2室1厅,117.7,高层,12,南北向
2室1厅,107.96,中层,11,南北向
3室2厅,107.57,中层,8,东北向
2室1厅,104.62,高层,6,南北向
2室1厅,113.83,低层,11,南北向
3室2厅,133.03,低层,11,南北向
2室2厅,93.66,低层,33,南北向
2室1厅,76.93,低层,18,南北向
2室2厅,109.28,低层,8,南北向
2室2厅,104.41,高层,11,南北向
3室2厅,165.77,高层,18,南北向
2室1厅,57.03,中层,6,东南向
2室2厅,123.19,高层,11,东南向
2室1厅,111.96,高层,6,南北向
1室1厅,38.0,低层,6,东北向
3室2厅,155.06,高层,30,南北向
3室2厅,147.54,中层,7,南北向
2室2厅,111.47,低层,6,南北向
3室1厅,139.82,高层,7,南北向
2室1厅,47.63,中层,6,南北向
1室1厅,38.0,中层,6,北向
1室1厅,24.0,顶层,5,南向
1室0厅,25.44,高层,8,南向
2室1厅,38.56,高层,6,南北向
2室1厅,51.98,低层,6,南北向
2室2厅,122.24,中层,11,南北向
1室1厅,39.57,低层,7,南向
1室1厅,26.31,高层,8,南向
2室2厅,117.58,低层,6,南北向
3室2厅,151.61,中层,16,南向
2室1厅,39.76,低层,6,南北向
2室1厅,33.17,高层,7,南北向
3室2厅,121.0,低层,7,南北向
1室1厅,28.97,中层,8,南北向
3室1厅,75.41,低层,6,南向
2室1厅,44.11,高层,5,南向
3室2厅,89.5,低层,11,南北向
2室1厅,36.04,中层,6,南北向
1室0厅,20.0,低层,3,西南向
2室1厅,96.99,低层,6,南北向
2室1厅,87.05,低层,21,南向
2室1厅,105.53,低层,6,南北向
2室1厅,35.03,低层,6,南向
2室0厅,30.54,中层,5,东南向
4室2厅,230.25,高层,12,南北向
2室1厅,61.51,低层,6,南北向
1室1厅,33.68,高层,7,北向
2室1厅,52.73,中层,6,东西向
2室2厅,136.94,低层,32,南北向
1室1厅,43.99,高层,7,西向
2室2厅,102.35,高层,6,南北向
1室0厅,20.24,中层,5,南向
1室1厅,39.56,中层,8,南向
3室2厅,225.64,高层,30,南向
3室1厅,122.53,高层,6,东南向
2室1厅,85.22,中层,6,南北向
3室2厅,142.15,中层,18,东南向
4室2厅,142.0,低层,18,南北向
1室0厅,21.2,高层,5,西向
2室2厅,185.64,高层,7,东西向
2室1厅,66.84,低层,8,东西向
2室1厅,112.45,中层,25,南向
2室2厅,100.81,顶层,26,南北向
2室1厅,80.0,低层,11,南北向
2室2厅,106.59,高层,13,东西向
4室2厅,161.54,高层,7,南北向
2室2厅,98.98,低层,16,南北向
3室2厅,89.81,低层,9,南北向
3室1厅,125.54,高层,6,南北向
2室2厅,92.0,中层,26,南北向
2室2厅,137.9,低层,23,南北向
1室1厅,35.08,高层,7,南向
2室1厅,101.59,高层,8,东西向
1室0厅,17.0,顶层,6,南北向
1室0厅,20.04,高层,6,南北向
3室2厅,143.0,中层,28,南北向
2室1厅,122.92,中层,12,南北向
1室1厅,34.69,中层,6,南北向
1室1厅,32.04,中层,6,南向
1室1厅,38.71,高层,6,西向
1室1厅,30.0,中层,6,南向
2室2厅,108.34,中层,7,南北向
3室2厅,174.56,高层,14,南北向
1室1厅,35.23,高层,6,北向
3室2厅,109.0,低层,7,南北向
2室1厅,35.84,低层,8,东向
3室2厅,143.01,高层,10,南北向
3室2厅,140.92,中层,7,南北向
2室1厅,62.0,中层,4,南北向
2室2厅,87.0,低层,32,南北向
3室2厅,137.0,中层,25,南向
1室1厅,36.26,低层,6,西向
3室1厅,109.97,中层,8,南北向
1室1厅,39.85,中层,8,东南向
2室1厅,21.85,中层,8,东向
3室1厅,84.13,中层,4,南北向
1室1厅,27.38,中层,6,南向
3室1厅,124.53,低层,11,南北向
2室1厅,101.33,低层,6,南北向
2室1厅,37.88,中层,8,南北向
3室2厅,109.25,高层,6,南北向
