户型,面积,楼层,总楼层,走向
2室1厅,105.53㎡,低层,（共6层）,南向
2室2厅,117.58㎡,低层,（共6层）,南向
2室2厅,117.58㎡,低层,（共6层）,南北向
2室1厅,68.63㎡,中层,（共14层）,南向
2室1厅,57.19㎡,中层,（共6层）,南北向
2室1厅,122.26㎡,高层,（共34层）,东南向
2室2厅,136.58㎡,中层,（共8层）,南北向
1室1厅,38.38㎡,中层,（共8层）,东西向
1室1厅,39㎡,低层,（共7层）,南向
1室1厅,49.2㎡,低层,（共10层）,南向
3室2厅,137.26㎡,低层,（共33层）,南北向
1室1厅,47.38㎡,中层,（共7层）,南向
3室2厅,145.74㎡,中层,（共7层）,南北向
2室1厅,54.39㎡,低层,（共6层）,南北向
3室2厅,147.61㎡,中层,（共6层）,南北向
2室2厅,98㎡,低层,（共18层）,南向
2室1厅,60.27㎡,中层,（共8层）,南北向
3室1厅,107.6㎡,低层,（共6层）,南北向
2室1厅,81.18㎡,高层,（共6层）,南向
3室2厅,118.55㎡,中层,（共28层）,南北向
2室1厅,57.07㎡,高层,（共7层）,南北向
3室1厅,75.6㎡,中层,（共5层）,南北向
3室2厅,181㎡,高层,（共31层）,南北向
3室2厅,114.34㎡,中层,（共31层）,南北向
2室2厅,104.8㎡,中层,（共7层）,南北向
2室1厅,55.83㎡,低层,（共6层）,南北向
1室1厅,21.27㎡,低层,（共6层）,南向
3室2厅,87㎡,低层,（共9层）,南北向
2室2厅,85㎡,低层,（共18层）,南北向
3室2厅,89.81㎡,低层,（共9层）,南北向
3室2厅,126㎡,中层,（共6层）,南北向
1室0厅,29㎡,顶层,（共2层）,东北向
2室1厅,70㎡,高层,（共6层）,东北向
2室2厅,109.28㎡,低层,（共8层）,南北向
4室2厅,183.29㎡,中层,（共18层）,西北向
2室1厅,35.84㎡,高层,（共8层）,东向
2室1厅,88㎡,中层,（共9层）,南北向
3室2厅,89㎡,高层,（共11层）,南北向
1室1厅,38.54㎡,中层,（共6层）,南向
2室1厅,41.3㎡,中层,（共8层）,南北向
3室2厅,117㎡,低层,（共9层）,南北向
3室2厅,88㎡,中层,（共8层）,南北向
3室2厅,134.65㎡,中层,（共17层）,南北向
1室1厅,60.87㎡,中层,（共10层）,南向
3室2厅,139.77㎡,中层,（共8层）,南北向
3室2厅,109㎡,高层,（共7层）,南北向
2室1厅,56㎡,顶层,（共6层）,南北向
1室1厅,39㎡,低层,（共7层）,南向
4室2厅,140㎡,中层,（共32层）,南北向
3室1厅,66㎡,中层,（共13层）,南北向
1室1厅,22.4㎡,顶层,（共6层）,南向
2室1厅,68.45㎡,低层,（共6层）,南北向
3室2厅,100.65㎡,低层,（共6层）,南北向
3室2厅,115㎡,中层,（共32层）,南北向
2室1厅,89.65㎡,中层,（共7层）,南北向
3室2厅,88㎡,中层,（共8层）,南北向
3室2厅,140㎡,低层,（共9层）,南北向
3室2厅,176.65㎡,中层,（共29层）,南北向
3室2厅,116㎡,中层,（共10层）,南北向
3室2厅,95㎡,中层,（共11层）,南北向
1室1厅,38㎡,高层,（共7层）,南向
1室1厅,55.81㎡,中层,（共30层）,东向
2室2厅,105.13㎡,低层,（共7层）,南向
1室1厅,55.06㎡,低层,（共30层）,东向
2室1厅,74.47㎡,中层,（共30层）,北向
1室1厅,55.72㎡,高层,（共30层）,南向
2室1厅,68.14㎡,中层,（共30层）,北向
2室1厅,101.37㎡,中层,（共6层）,南北向
2室1厅,108.37㎡,低层,（共9层）,南北向
1室1厅,52.21㎡,中层,（共30层）,北向
1室1厅,60.09㎡,中层,（共21层）,东向
2室1厅,73.62㎡,低层,（共6层）,南北向
2室1厅,67.23㎡,高层,（共8层）,东西向
3室1厅,95.12㎡,中层,（共11层）,南向
3室2厅,145.26㎡,高层,（共12层）,南北向
2室1厅,117.86㎡,高层,（共13层）,南北向
2室2厅,82.45㎡,中层,（共48层）,西向
2室1厅,121.05㎡,中层,（共12层）,南北向
3室2厅,50.41㎡,高层,（共24层）,东向
4室2厅,137.35㎡,高层,（共33层）,西北向
2室2厅,121.05㎡,低层,（共12层）,南北向
2室1厅,41.71㎡,中层,（共8层）,东向
2室1厅,53.83㎡,低层,（共7层）,东南向
2室1厅,53.59㎡,高层,（共8层）,南向
2室1厅,148.8㎡,中层,（共11层）,南向
2室2厅,121.94㎡,低层,（共12层）,南北向
2室1厅,106.4㎡,低层,（共8层）,南北向
2室1厅,89.74㎡,低层,（共33层）,南向
2室2厅,83.88㎡,中层,（共48层）,西向
2室1厅,83.88㎡,中层,（共48层）,东南向
2室1厅,40.51㎡,中层,（共8层）,北向
3室2厅,121.94㎡,低层,（共12层）,南向
2室2厅,107.11㎡,中层,（共10层）,南北向
3室2厅,166.78㎡,高层,（共18层）,南北向
2室2厅,117.7㎡,高层,（共12层）,南北向
2室1厅,79.71㎡,中层,（共21层）,东向
2室1厅,73.23㎡,高层,（共48层）,西南向
3室2厅,135.17㎡,低层,（共9层）,南北向
2室1厅,104.45㎡,高层,（共33层）,南向
2室1厅,58.9㎡,低层,（共6层）,南北向
2室1厅,84.79㎡,中层,（共7层）,南北向
3室2厅,174.28㎡,中层,（共15层）,南北向
1室1厅,52.21㎡,中层,（共30层）,北向
2室2厅,114.14㎡,中层,（共19层）,南北向
2室1厅,124.29㎡,中层,（共25层）,南北向
1室1厅,36.65㎡,高层,（共7层）,西向
2室2厅,119.84㎡,中层,（共13层）,南北向
